KO_ID	KO_name	KO_def
K00003	hom	homoserine dehydrogenase
K00004	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
K00005	gldA	glycerol dehydrogenase
K00006	GPD1	glycerol-3-phosphate dehydrogenase (NAD+)
K00007	dalD	D-arabinitol 4-dehydrogenase
K00008	SORD, gutB	L-iditol 2-dehydrogenase
K00009	mtlD	mannitol-1-phosphate 5-dehydrogenase
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00012	UGDH, ugd	UDPglucose 6-dehydrogenase
K00013	hisD	histidinol dehydrogenase
K00014	aroE	shikimate dehydrogenase
K00015	gyaR, GOR1	glyoxylate reductase
K00016	LDH, ldh	L-lactate dehydrogenase
K00018	hprA	glycerate dehydrogenase
K00019	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase
K00020	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase
K00021	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH)
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase
K00023	phbB	acetoacetyl-CoA reductase
K00024	mdh	malate dehydrogenase
K00025	MDH1	malate dehydrogenase
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	IDH3	isocitrate dehydrogenase (NAD+)
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	gdh	glucose 1-dehydrogenase
K00035	gal	D-galactose 1-dehydrogenase
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00038	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00039	rbtD	ribitol 2-dehydrogenase
K00040	uxuB	fructuronate reductase
K00041	uxaB	tagaturonate reductase
K00042	garR, glxR	2-hydroxy-3-oxopropionate reductase
K00043	gbd	4-hydroxybutyrate dehydrogenase
K00045	E1.1.1.67, mtlK	mannitol 2-dehydrogenase
K00046	idnO	gluconate 5-dehydrogenase
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase
K00050	ttuD	hydroxypyruvate reductase
K00052	leuB, IMDH	3-isopropylmalate dehydrogenase
K00053	ilvC	ketol-acid reductoisomerase
K00054	mvaA	hydroxymethylglutaryl-CoA reductase
K00055	E1.1.1.90	aryl-alcohol dehydrogenase
K00057	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00059	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase
K00060	tdh	threonine 3-dehydrogenase
K00062	E1.1.1.116	D-arabinose 1-dehydrogenase
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase
K00065	kduD	2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
K00066	algD	GDP-mannose 6-dehydrogenase
K00067	rfbD, rmlD	dTDP-4-dehydrorhamnose reductase
K00068	srlD	sorbitol-6-phosphate 2-dehydrogenase
K00069	HPGD	15-hydroxyprostaglandin dehydrogenase (NAD)
K00073	allD	ureidoglycolate dehydrogenase (NAD+)
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase
K00075	murB	UDP-N-acetylmuramate dehydrogenase
K00076	hdhA	7-alpha-hydroxysteroid dehydrogenase
K00077	panE, apbA	2-dehydropantoate 2-reductase
K00078	DHDH	dihydrodiol dehydrogenase / D-xylose 1-dehydrogenase (NADP)
K00082	ribD2	5-amino-6-(5-phosphoribosylamino)uracil reductase
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit
K00088	IMPDH, guaB	IMP dehydrogenase
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase
K00091	E1.1.1.219	dihydroflavonol-4-reductase
K00093	mdh	methanol dehydrogenase
K00095	MTD	mannitol dehydrogenase
K00096	araM, egsA	glycerol-1-phosphate dehydrogenase [NAD(P)+]
K00097	pdxA	4-hydroxythreonine-4-phosphate dehydrogenase
K00098	idnD	L-idonate 5-dehydrogenase
K00099	dxr	1-deoxy-D-xylulose-5-phosphate reductoisomerase
K00101	lldD	L-lactate dehydrogenase (cytochrome)
K00102	LDHD, dld	D-lactate dehydrogenase (cytochrome)
K00104	glcD	glycolate oxidase
K00107	ALO	D-arabinono-1,4-lactone oxidase
K00108	betA, CHDH	choline dehydrogenase
K00109	L2HGDH	2-hydroxyglutarate dehydrogenase
K00111	glpA, glpD	glycerol-3-phosphate dehydrogenase
K00112	glpB	glycerol-3-phosphate dehydrogenase subunit B
K00113	glpC	glycerol-3-phosphate dehydrogenase subunit C
K00114	exaA	alcohol dehydrogenase (cytochrome c)
K00116	mqo	malate dehydrogenase (quinone)
K00117	gcd	quinoprotein glucose dehydrogenase
K00118	gfo	glucose-fructose oxidoreductase
K00119	E1.1.99.36	alcohol dehydrogenase (nicotinoprotein)
K00120	fgd2	F420-dependent hydroxymycolic acid dehydrogenase
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	FDH	formate dehydrogenase
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00126	fdsD	formate dehydrogenase subunit delta
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma
K00128	ALDH	aldehyde dehydrogenase (NAD+)
K00130	betB, gbsA	betaine-aldehyde dehydrogenase
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating)
K00133	asd	aspartate-semialdehyde dehydrogenase
