KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00018	15	18	22	13	31	32	30	12	23	16	212	21.2	7.61285462593077	0.359096916317489	hprA	glycerate dehydrogenase
K00023	71	69	83	53	105	72	102	36	56	76	723	72.3	21.2082269152536	0.293336471856897	phbB	acetoacetyl-CoA reductase
K00024	163	170	163	182	184	187	206	196	187	193	1831	183.1	14.1456707158056	0.0772565303976275	mdh	malate dehydrogenase
K00025	0	0	1	0	0	0	0	0	0	0	1	0.1	0.316227766016838	3.16227766016838	MDH1	malate dehydrogenase
K00026	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	MDH2	malate dehydrogenase
K00027	45	37	59	101	72	41	72	96	47	90	660	66	23.7814119756493	0.360324423873474	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)
K00028	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	29	31	31	24	38	44	38	12	34	16	297	29.7	9.98943886756853	0.336344743015775	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	52	73	43	74	53	70	69	60	90	50	634	63.4	14.2688471853896	0.225060681157564	IDH3	isocitrate dehydrogenase (NAD+)
K00031	145	178	135	139	159	185	195	146	210	172	1664	166.4	25.59600663298	0.153822155246274	IDH1, IDH2, icd	isocitrate dehydrogenase
K00033	155	169	189	269	240	188	266	265	239	280	2260	226	46.3728847975241	0.205189755741257	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	36	34	36	82	81	33	57	40	45	36	480	48	19.0087699058443	0.39601603970509	gdh	glucose 1-dehydrogenase
K00036	132	151	189	265	234	188	230	264	229	248	2130	213	46.0941066370384	0.216404256511917	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00043	1	1	6	3	6	10	9	2	3	3	44	4.4	3.20416395751944	0.728219081254419	gbd	4-hydroxybutyrate dehydrogenase
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.82	malate dehydrogenase (NADP+)
K00058	221	222	213	231	172	229	237	262	258	217	2262	226.2	25.1254629586977	0.111076317235622	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
