KO_ID	KO_name	KO_def
K00018	hprA	glycerate dehydrogenase
K00023	phbB	acetoacetyl-CoA reductase
K00024	mdh	malate dehydrogenase
K00025	MDH1	malate dehydrogenase
K00026	MDH2	malate dehydrogenase
K00027	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	IDH3	isocitrate dehydrogenase (NAD+)
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	gdh	glucose 1-dehydrogenase
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00043	gbd	4-hydroxybutyrate dehydrogenase
K00051	E1.1.1.82	malate dehydrogenase (NADP+)
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase
K00116	mqo	malate dehydrogenase (quinone)
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	FDH	formate dehydrogenase
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	fdsD	formate dehydrogenase subunit delta
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase
K00140	mmsA, iolA, ALDH6A1	malonate-semialdehyde dehydrogenase (acetylating) / methylmalonate-semialdehyde dehydrogenase
K00148	fdhA	glutathione-independent formaldehyde dehydrogenase
K00150	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00161	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit
K00162	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit
K00163	aceE	pyruvate dehydrogenase E1 component
K00164	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component
K00169	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit
K00174	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00176	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00189	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00192	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha
K00193	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta
K00194	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta
K00195	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma
K00198	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit
K00200	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A
K00201	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B
K00202	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C
K00203	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D
K00204	fwdH	4Fe-4S ferredoxin
K00205	fwdF, fmdF	4Fe-4S ferredoxin
K00209	fabV, ter	enoyl-[acyl-carrier protein] reductase / trans-2-enoyl-CoA reductase (NAD+)
K00232	E1.3.3.6, ACOX1, ACOX3	acyl-CoA oxidase
K00234	SDHA, SDH1	succinate dehydrogenase (ubiquinone) flavoprotein subunit
K00235	SDHB, SDH2	succinate dehydrogenase (ubiquinone) iron-sulfur subunit
K00236	SDHC, SDH3	succinate dehydrogenase (ubiquinone) cytochrome b560 subunit
K00237	SDHD, SDH4	succinate dehydrogenase (ubiquinone) membrane anchor subunit
K00239	sdhA, frdA	succinate dehydrogenase / fumarate reductase, flavoprotein subunit
K00240	sdhB, frdB	succinate dehydrogenase / fumarate reductase, iron-sulfur subunit
K00241	sdhC, frdC	succinate dehydrogenase / fumarate reductase, cytochrome b subunit
K00242	sdhD, frdD	succinate dehydrogenase / fumarate reductase, membrane anchor subunit
K00244	frdA	fumarate reductase flavoprotein subunit
K00245	frdB	fumarate reductase iron-sulfur subunit
K00246	frdC	fumarate reductase subunit C
K00247	frdD	fumarate reductase subunit D
K00248	ACADS, bcd	butyryl-CoA dehydrogenase
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00281	GLDC, gcvP	glycine dehydrogenase
K00282	gcvPA	glycine dehydrogenase subunit 1
K00283	gcvPB	glycine dehydrogenase subunit 2
K00297	metF, MTHFR	methylenetetrahydrofolate reductase (NADPH)
K00317	dmd-tmd	dimethylamine/trimethylamine dehydrogenase
K00319	mtd	methylenetetrahydromethanopterin dehydrogenase
K00320	mer	5,10-methylenetetrahydromethanopterin reductase
