KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00001	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.1, adh	alcohol dehydrogenase
K00002	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	AKR1A1, adh	alcohol dehydrogenase (NADP+)
K00003	104	113	140	122	137	136	167	161	161	156	1397	139.7	21.7053500829225	0.155371153063153	hom	homoserine dehydrogenase
K00010	15	25	33	67	53	42	56	83	30	83	487	48.7	23.800326795142	0.488713075875606	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00015	90	101	69	57	57	82	73	52	96	53	730	73	18.4149697559108	0.252259859670012	gyaR, GOR1	glyoxylate reductase
K00016	6	13	0	7	5	8	7	3	6	1	56	5.6	3.71782493162632	0.663897309218985	LDH, ldh	L-lactate dehydrogenase
K00018	15	18	22	13	31	32	30	12	23	16	212	21.2	7.61285462593077	0.359096916317489	hprA	glycerate dehydrogenase
K00022	0	1	3	0	0	2	3	0	2	0	11	1.1	1.28668393770792	1.16971267064356	HADH	3-hydroxyacyl-CoA dehydrogenase
K00023	71	69	83	53	105	72	102	36	56	76	723	72.3	21.2082269152536	0.293336471856897	phbB	acetoacetyl-CoA reductase
K00024	163	170	163	182	184	187	206	196	187	193	1831	183.1	14.1456707158056	0.0772565303976275	mdh	malate dehydrogenase
K00025	0	0	1	0	0	0	0	0	0	0	1	0.1	0.316227766016838	3.16227766016838	MDH1	malate dehydrogenase
K00026	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	MDH2	malate dehydrogenase
K00028	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	29	31	31	24	38	44	38	12	34	16	297	29.7	9.98943886756853	0.336344743015775	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	52	73	43	74	53	70	69	60	90	50	634	63.4	14.2688471853896	0.225060681157564	IDH3	isocitrate dehydrogenase (NAD+)
K00031	145	178	135	139	159	185	195	146	210	172	1664	166.4	25.59600663298	0.153822155246274	IDH1, IDH2, icd	isocitrate dehydrogenase
K00032	0	0	0	0	0	0	0	0	1	0	1	0.1	0.316227766016838	3.16227766016838	E1.1.1.43	phosphogluconate 2-dehydrogenase
K00033	155	169	189	269	240	188	266	265	239	280	2260	226	46.3728847975241	0.205189755741257	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	36	34	36	82	81	33	57	40	45	36	480	48	19.0087699058443	0.39601603970509	gdh	glucose 1-dehydrogenase
K00036	132	151	189	265	234	188	230	264	229	248	2130	213	46.0941066370384	0.216404256511917	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00048	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fucO	lactaldehyde reductase
K00049	0	1	0	0	1	2	0	3	1	4	12	1.2	1.3984117975602	1.1653431646335	GRHPR	glyoxylate/hydroxypyruvate reductase
K00050	4	5	0	0	8	2	7	0	3	2	31	3.1	2.88482620312251	0.930589097781454	ttuD	hydroxypyruvate reductase
K00051	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	E1.1.1.82	malate dehydrogenase (NADP+)
K00055	6	8	21	32	28	7	33	17	9	17	178	17.8	10.4221985311268	0.58551677141162	E1.1.1.90	aryl-alcohol dehydrogenase
K00058	221	222	213	231	172	229	237	262	258	217	2262	226.2	25.1254629586977	0.111076317235622	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00064	11	16	27	21	10	31	17	25	30	14	202	20.2	7.72873426463437	0.382610607160117	E1.1.1.122	D-threo-aldose 1-dehydrogenase
K00073	5	4	5	0	0	4	1	6	4	1	30	3	2.26077666104176	0.753592220347252	allD	ureidoglycolate dehydrogenase (NAD+)
K00074	209	215	188	235	193	266	220	297	264	227	2314	231.4	34.7281506050127	0.15007843822391	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase
K00087	2	2	1	0	1	1	1	0	1	0	9	0.9	0.737864787372622	0.819849763747358	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit
K00090	8	4	1	2	6	4	8	1	1	1	36	3.6	2.87518115371304	0.798661431586957	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase
K00093	99	138	116	173	144	166	164	142	139	172	1453	145.3	24.4178896166997	0.168051545882311	mdh	methanol dehydrogenase
K00100	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	bdhAB	butanol dehydrogenase
K00104	114	133	139	174	168	138	189	158	158	159	1530	153	22.0856916979699	0.144350926130522	glcD	glycolate oxidase
K00106	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	XDH	xanthine dehydrogenase/oxidase
K00114	23	46	17	12	28	18	33	5	39	7	228	22.8	13.6284017160243	0.597736917369486	exaA	alcohol dehydrogenase (cytochrome c)
K00116	0	0	7	2	2	0	3	6	2	9	31	3.1	3.17804971641414	1.02517732787553	mqo	malate dehydrogenase (quinone)
K00121	27	26	50	27	45	45	59	19	31	26	355	35.5	13.1677214767358	0.370921731739036	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	35	22	37	27	28	56	47	43	43	44	382	38.2	10.4221985311268	0.272832422280807	FDH	formate dehydrogenase
K00123	51	67	80	48	81	65	81	33	47	36	589	58.9	18.3874957511892	0.312181591701005	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	69	83	82	145	94	72	78	117	90	68	898	89.8	24.2111085615215	0.269611453914493	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	11	12	29	13	42	26	41	7	23	16	220	22	12.4275679215382	0.564889450979008	fdsD	formate dehydrogenase subunit delta
K00127	51	80	61	34	63	69	55	46	78	54	591	59.1	14.2240016247968	0.240676846443262	fdoI, fdsG	formate dehydrogenase subunit gamma
K00128	41	31	45	46	42	49	27	78	46	46	451	45.1	13.5519576281641	0.300486865369493	ALDH	aldehyde dehydrogenase (NAD+)
K00129	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ALDH3	aldehyde dehydrogenase (NAD(P)+)
K00131	0	4	0	3	0	3	0	1	2	0	13	1.3	1.56702123647242	1.20540095113263	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00132	22	31	7	7	9	20	10	1	31	11	149	14.9	10.4716548623203	0.702795628343642	E1.2.1.10	acetaldehyde dehydrogenase (acetylating)
K00133	180	183	196	213	208	210	261	237	249	250	2187	218.7	28.9292239785308	0.132278116042665	asd	aspartate-semialdehyde dehydrogenase
K00134	207	219	214	205	217	264	259	281	248	249	2363	236.3	27.0515967900028	0.114479884849779	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase
K00135	91	71	111	152	119	109	112	131	75	136	1107	110.7	25.9702821616469	0.234600561532492	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00137	16	9	12	16	17	20	9	30	11	8	148	14.8	6.67998669326685	0.45135045224776	prr	aminobutyraldehyde dehydrogenase
K00138	3	9	7	10	28	8	15	5	2	13	100	10	7.52772652709081	0.752772652709081	aldB	aldehyde dehydrogenase
K00139	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	ALDH5A1	succinate-semialdehyde dehydrogenase
K00141	0	3	2	2	1	1	1	8	3	2	23	2.3	2.21359436211787	0.962432331355594	xylC	benzaldehyde dehydrogenase (NAD)
K00146	13	18	27	24	21	28	27	30	26	31	245	24.5	5.64210362660359	0.230289943943004	feaB	phenylacetaldehyde dehydrogenase
K00148	11	8	19	78	49	12	41	42	18	44	322	32.2	22.389481657441	0.695325517311834	fdhA	glutathione-independent formaldehyde dehydrogenase
K00149	1	0	0	0	0	0	0	1	0	1	3	0.3	0.483045891539648	1.61015297179883	ALDH9A1	aldehyde dehydrogenase family 9 member A1
K00150	10	19	3	4	3	8	1	4	8	3	63	6.3	5.29255241930688	0.840087685604267	gap2	glyceraldehyde-3-phosphate dehydrogenase (NAD(P))
K00151	4	4	20	10	13	6	3	13	5	4	82	8.2	5.6134758493389	0.684570225529134	hpaE, hpcC	5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase
K00152	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	nahF	salicylaldehyde dehydrogenase
K00157	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	AOX	aldehyde oxidase
K00161	118	115	144	156	129	125	155	157	130	154	1383	138.3	16.6936448320245	0.120706036384848	PDHA, pdhA	pyruvate dehydrogenase E1 component alpha subunit
K00162	102	104	110	131	129	111	145	124	124	125	1205	120.5	13.5092560861063	0.11211000901333	PDHB, pdhB	pyruvate dehydrogenase E1 component beta subunit
K00163	141	144	151	137	167	194	199	235	168	214	1750	175	33.8427737239921	0.193387278422812	aceE	pyruvate dehydrogenase E1 component
K00164	63	71	96	90	111	110	137	112	93	99	982	98.2	21.2853627327952	0.21675522131156	OGDH, sucA	2-oxoglutarate dehydrogenase E1 component
K00169	51	36	24	8	8	18	1	8	23	9	186	18.6	15.421485733295	0.829112136198658	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	27	19	9	5	1	10	0	7	20	0	98	9.8	9.34285228872259	0.953352274359448	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	0	0	0	2	0	0	0	0	0	0	2	0.2	0.632455532033676	3.16227766016838	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	19	13	12	3	6	8	0	4	10	8	83	8.3	5.51865523072021	0.6648982205687	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit
K00174	175	205	132	130	104	182	141	129	220	119	1537	153.7	39.1011508782031	0.254399159910235	korA, oorA, oforA	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit alpha
K00175	174	210	122	137	109	175	138	145	219	122	1551	155.1	37.843097124839	0.243991599773301	korB, oorB, oforB	2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase subunit beta
K00176	14	10	0	0	0	6	0	2	14	2	48	4.8	5.82713956890991	1.21398741018956	korD, oorD	2-oxoglutarate ferredoxin oxidoreductase subunit delta
K00177	9	3	0	1	0	2	0	0	6	0	21	2.1	3.10733898304571	1.47968523002177	korC, oorC	2-oxoglutarate ferredoxin oxidoreductase subunit gamma
K00189	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00192	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha
K00193	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta
K00194	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta
K00195	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	15	22	3	0	7	8	12	1	14	7	89	8.9	6.90330033792211	0.775651723362035	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma
K00198	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit
K00200	23	45	30	26	37	28	47	21	40	41	338	33.8	9.36660735449786	0.27711856078396	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A
K00201	24	45	21	22	32	39	42	19	42	29	315	31.5	9.87983355685262	0.313645509741353	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B
K00202	23	46	26	29	34	37	45	22	47	38	347	34.7	9.47569991551489	0.273074925519161	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C
K00203	0	0	0	0	0	0	0	0	1	0	1	0.1	0.316227766016838	3.16227766016838	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D
K00204	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fwdH	4Fe-4S ferredoxin
K00205	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fwdF, fmdF	4Fe-4S ferredoxin
K00206	8	10	9	9	22	19	22	8	5	10	122	12.2	6.28578643537236	0.515228396341996	phnY	phosphonoacetaldehyde dehydrogenase
