KO_ID	KO_name	KO_def
K00001	E1.1.1.1, adh	alcohol dehydrogenase
K00002	AKR1A1, adh	alcohol dehydrogenase (NADP+)
K00003	hom	homoserine dehydrogenase
K00010	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00015	gyaR, GOR1	glyoxylate reductase
K00016	LDH, ldh	L-lactate dehydrogenase
K00018	hprA	glycerate dehydrogenase
K00022	HADH	3-hydroxyacyl-CoA dehydrogenase
K00023	phbB	acetoacetyl-CoA reductase
K00024	mdh	malate dehydrogenase
K00025	MDH1	malate dehydrogenase
K00026	MDH2	malate dehydrogenase
K00028	E1.1.1.39	malate dehydrogenase (decarboxylating)
K00029	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	IDH3	isocitrate dehydrogenase (NAD+)
K00031	IDH1, IDH2, icd	isocitrate dehydrogenase
K00032	E1.1.1.43	phosphogluconate 2-dehydrogenase
K00033	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	gdh	glucose 1-dehydrogenase
K00036	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00048	fucO	lactaldehyde reductase
K00049	GRHPR	glyoxylate/hydroxypyruvate reductase
K00050	ttuD	hydroxypyruvate reductase
K00051	E1.1.1.82	malate dehydrogenase (NADP+)
K00055	E1.1.1.90	aryl-alcohol dehydrogenase
K00058	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00064	E1.1.1.122	D-threo-aldose 1-dehydrogenase
K00073	allD	ureidoglycolate dehydrogenase (NAD+)
K00074	paaH, hbd, fadB, mmgB	3-hydroxybutyryl-CoA dehydrogenase
K00087	ygeS, xdhA	xanthine dehydrogenase molybdenum-binding subunit
K00090	ghrB	glyoxylate/hydroxypyruvate/2-ketogluconate reductase
K00093	mdh	methanol dehydrogenase
K00100	bdhAB	butanol dehydrogenase
K00104	glcD	glycolate oxidase
K00106	XDH	xanthine dehydrogenase/oxidase
K00114	exaA	alcohol dehydrogenase (cytochrome c)
K00116	mqo	malate dehydrogenase (quinone)
K00121	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	FDH	formate dehydrogenase
K00123	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	fdsD	formate dehydrogenase subunit delta
K00127	fdoI, fdsG	formate dehydrogenase subunit gamma
K00128	ALDH	aldehyde dehydrogenase (NAD+)
K00129	ALDH3	aldehyde dehydrogenase (NAD(P)+)
K00131	gapN	glyceraldehyde-3-phosphate dehydrogenase (NADP+)
K00132	E1.2.1.10	acetaldehyde dehydrogenase (acetylating)
K00133	asd	aspartate-semialdehyde dehydrogenase
K00134	GAPDH, gapA	glyceraldehyde 3-phosphate dehydrogenase
K00135	gabD	succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase
K00137	prr	aminobutyraldehyde dehydrogenase
K00138	aldB	aldehyde dehydrogenase
