KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00018	2149.24109483324	5705.47680655485	3946.58868209668	1572.5506303136	7581.72581514489	4821.85888123875	5769.70124355269	4702.00654036004	6177.02896813197	4008.12933274476	46434.3079949715	4643.43079949715	1824.45363695027	0.392910698087251	hprA	glycerate dehydrogenase
K00024	36173.0239974616	34671.2333108098	28934.114622327	39391.584880349	32990.7065627508	39864.9931902468	31240.8044146159	31841.7885869225	33557.6142033632	35666.1587411971	344332.022510044	34433.2022510044	3475.11747235578	0.100923447288566	mdh	malate dehydrogenase
K00058	36838.9627031072	39923.8325859643	40169.1188613329	50785.4616021263	31067.1528536042	42102.2545980717	28410.4311233465	34838.9401879813	39486.088413196	37201.2912141909	380823.534142921	38082.3534142921	6172.03199749994	0.16207065593755	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00093	18764.3921502567	13400.6948517945	15402.0770825187	27711.121899563	19901.3306569175	21140.3767715217	16957.1426899345	14103.0464995089	13934.7072408132	25490.6454929504	186805.535335779	18680.5535335779	4950.2936133518	0.264997158914684	mdh	methanol dehydrogenase
K00121	3052.09419380416	3036.97609543941	9130.3256267317	3855.87985800413	8272.63437597644	10913.5526140398	8126.11942647916	1482.88780922796	3764.35158863838	3209.0622672229	54843.8838555641	5484.38838555641	3269.85058356118	0.59621061706217	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	16245.4123611236	5815.09464744036	9836.90085133005	7826.81308595247	3869.23367366316	17775.8196903237	7221.26214799628	3940.4055922501	8730.77859189436	8210.81629359168	89472.5369355657	8947.25369355657	4684.33607969716	0.523550157415411	FDH	formate dehydrogenase
K00123	13234.9726288628	17792.3238041546	30619.804947702	12362.3611682933	22250.3992001917	10334.9257101333	16937.8683420418	16512.3038524307	8743.71506948309	10585.8177472474	159374.492470541	15937.4492470541	6600.16361403666	0.41412923183154	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	11257.7014302311	12894.7737568847	15661.4908277158	33811.206989896	20343.5862668199	10567.6222327683	16398.0519163089	24360.1328479227	17326.4139923683	11254.9815234675	173875.961784383	17387.5961784383	7249.01210086386	0.416907088620627	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	1293.74219752419	991.251258988374	3212.46873444747	2090.22563134095	6326.16380032046	3835.69178102235	5723.28551607809	1060.78274822488	2991.04177978463	1994.64635680769	29519.2998045391	2951.92998045391	1878.1054999033	0.636229691198337	fdsD	formate dehydrogenase subunit delta
K00127	6455.57602864102	13075.5439904626	7037.92607791757	4087.4694514178	15189.5117827671	10367.1383522679	11427.2625320623	10493.5655551597	13385.9944809469	7453.87627785767	98973.8645295005	9897.38645295005	3542.48389273753	0.357921145100043	fdoI, fdsG	formate dehydrogenase subunit gamma
K00148	6265.58048143669	1144.82261201301	3796.68983746549	18921.8550422132	6792.19394293596	7551.79213933096	6274.42652310468	9500.06689055043	4099.4104230028	6273.19421823801	70620.0321102913	7062.00321102913	4752.09859752944	0.672910851995623	fdhA	glutathione-independent formaldehyde dehydrogenase
K00169	5987.79838683714	5938.44779382195	3640.03016440232	969.946083945916	670.09594610281	5975.94702892045	49.2902845748468	1517.9767702004	4539.29688834372	1493.97447038943	30782.803817539	3078.2803817539	2400.37580560351	0.779778157906414	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	2755.51306062834	2003.65027347784	1551.83589595874	626.502204687982	41.6954776201124	1018.511781543	0	1637.30922098728	3325.60167785612	0	12960.6195927594	1296.06195927594	1173.31027677297	0.905288723564149	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	0	0	0	173.815134755947	0	0	0	0	0	0	173.815134755947	17.3815134755947	54.9651717637888	3.16227766016838	porD	pyruvate ferredoxin oxidoreductase delta subunit
K00172	4302.51554330349	2802.59032805117	1835.09254251605	248.051010294627	383.080473560541	3698.97790954629	0	173.137302144598	2965.10426575778	1295.61812296358	17704.1674981381	1770.41674981381	1590.9859342783	0.898650520814164	porC, porG	pyruvate ferredoxin oxidoreductase gamma subunit
K00189	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	vorG, porG	2-oxoisovalerate/pyruvate ferredoxin oxidoreductase gamma subunit
K00192	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhA	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit alpha
K00193	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit beta
K00194	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhD, acsD	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit delta
K00195	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhB	anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex subunit epsilon
K00196	8918.59702929634	5723.96338559381	163.596063070074	0	3528.17437374948	769.39975290038	8585.61853339405	38.1002826511	1439.78269217115	2268.45858930407	31435.6907021305	3143.56907021305	3455.8291284654	1.099332971943	cooF	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K00197	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cdhE, acsC	acetyl-CoA decarbonylase/synthase, CODH/ACS complex subunit gamma
K00198	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	cooS, acsA	anaerobic carbon-monoxide dehydrogenase catalytic subunit
K00200	15316.91637504	13977.1197500212	13575.1621571754	3732.56736520595	8611.8851050122	4265.2710407286	12906.5271248646	12643.4892257231	17127.3280501926	13195.6847067664	115351.95090073	11535.195090073	4519.61721797714	0.391811077548801	fwdA, fmdA	formylmethanofuran dehydrogenase subunit A
K00201	15977.1612839875	17617.7133878044	4177.96654170458	3436.91274084707	10399.3566279877	6722.99279264972	15051.3656873833	12762.8324878612	19939.9459077022	11239.2287305082	117325.476188436	11732.5476188436	5628.25217422736	0.479712706657833	fwdB, fmdB	formylmethanofuran dehydrogenase subunit B
K00202	15164.0961792156	14154.8056203879	3776.83293528697	4138.04028796794	10386.1467803146	5843.15742784039	17217.8274034038	12183.8821101669	14922.4783592978	12506.2191881858	110293.486292068	11029.3486292068	4844.60575034864	0.439246769072079	fwdC, fmdC	formylmethanofuran dehydrogenase subunit C
K00203	0	0	0	0	0	0	0	0	19.0169647752436	0	19.0169647752436	1.90169647752436	6.01369228729617	3.16227766016838	fwdD, fmdD	formylmethanofuran dehydrogenase subunit D
K00204	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fwdH	4Fe-4S ferredoxin
K00205	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fwdF, fmdF	4Fe-4S ferredoxin
K00300	7823.1161908323	11305.016160562	11933.7987385522	2726.67136531449	5124.92532827864	3069.09683580313	5921.02098857722	6132.89967879418	9142.11569938744	5892.94581171803	69071.6067978197	6907.16067978197	3134.51028702859	0.453805902648777	mtdA	methylenetetrahydrofolate/methylenetetrahydromethanopterin dehydrogenase (NADP+)
K00317	1483.48292058089	1256.37731183012	470.477012917598	4253.57405092953	1837.44031829458	4690.330623496	1230.88765920644	4643.1798163848	251.836898322014	5611.66593581414	25729.2525477761	2572.92525477761	1997.15938832686	0.776221300878593	dmd-tmd	dimethylamine/trimethylamine dehydrogenase
K00319	0	167.263894386072	0	0	0	0	0	0	0	0	167.263894386072	16.7263894386072	52.893487656984	3.16227766016838	mtd	methylenetetrahydromethanopterin dehydrogenase
K00320	30877.512241622	39300.0633360889	55448.2700516946	43744.4904168102	35964.2014443617	31618.0909760826	23242.9611367013	46335.6510160192	41539.6249134516	48948.4549280997	397019.320460932	39701.9320460932	9576.70605549162	0.241215113772631	mer	5,10-methylenetetrahydromethanopterin reductase
K00399	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mcrA	methyl-coenzyme M reductase alpha subunit
K00400	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	K00400	methyl coenzyme M reductase system, component A2
K00401	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mcrB	methyl-coenzyme M reductase beta subunit
K00402	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mcrG	methyl-coenzyme M reductase gamma subunit
K00440	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	frhA	coenzyme F420 hydrogenase subunit alpha
K00441	3170.11269175203	8024.11344111133	1991.91753036961	3453.78105212917	2700.76086053166	6106.56741470325	5363.46658298678	11335.4616876376	5945.33203975571	5557.12203459831	53648.6353355754	5364.86353355754	2800.53687920905	0.522014560424795	frhB	coenzyme F420 hydrogenase subunit beta
K00442	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	frhD	coenzyme F420 hydrogenase subunit delta
K00443	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	frhG	coenzyme F420 hydrogenase subunit gamma
K00577	2960.10639114697	5115.93222818699	272.130687916144	431.366409485714	128.842793702143	82.8837072164662	79.387032099157	1965.6762635802	2137.80652132227	863.63645979357	14037.7684944496	1403.77684944496	1656.60195635676	1.1801034879666	mtrA	tetrahydromethanopterin S-methyltransferase subunit A
K00578	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrB	tetrahydromethanopterin S-methyltransferase subunit B
K00579	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrC	tetrahydromethanopterin S-methyltransferase subunit C
K00580	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrD	tetrahydromethanopterin S-methyltransferase subunit D
K00581	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrE	tetrahydromethanopterin S-methyltransferase subunit E
K00582	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrF	tetrahydromethanopterin S-methyltransferase subunit F
K00583	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrG	tetrahydromethanopterin S-methyltransferase subunit G
K00584	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtrH	tetrahydromethanopterin S-methyltransferase subunit H
K00600	43485.1263922052	48652.7363846321	44015.1435507089	42679.5750280914	37749.7769055658	50870.1785431822	37593.5958088696	45616.6936406995	44809.6733028836	44959.0602810499	440431.559837888	44043.1559837888	4151.75866557487	0.0942656940184538	glyA, SHMT	glycine hydroxymethyltransferase
K00625	2095.28895365209	3838.60583589797	1125.82992789533	2101.64898328099	1738.37444349262	2466.56591742801	3187.60435334337	134.368877991316	3509.1074177089	1085.22071870474	21282.6154293954	2128.26154293954	1168.61212097282	0.549092344805865	E2.3.1.8, pta	phosphate acetyltransferase
K00672	14969.1965672926	13061.5627911923	12124.9552364094	5340.30943605438	9837.18421137497	6599.24418568576	18321.2749214486	17838.1366047548	13892.3375070558	15426.1112521224	127410.312713391	12741.0312713391	4371.9603190823	0.343140223579626	ftr	formylmethanofuran--tetrahydromethanopterin N-formyltransferase
K00830	14336.763150959	17882.2558883922	14660.8253728376	12220.7929831171	15304.7909335044	15600.7684247952	10701.5883845793	6358.71637063991	18386.819395593	12939.4933673046	138392.814271722	13839.2814271722	3534.46233118639	0.255393486272111	AGXT	alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase
K00831	24126.160413263	20550.2443208113	22700.4935011279	23897.4560096726	30599.6832622744	28813.7901285988	29401.9888151455	26217.6401015537	24307.025290565	26623.0437233416	257237.525566354	25723.7525566354	3192.09375016508	0.124091294345066	serC, PSAT1	phosphoserine aminotransferase
K00850	3489.24836223963	2129.61203207273	1631.29356190744	1067.52269530052	1963.03253792586	1906.8452215547	912.129773261771	465.717691236362	3397.88606957285	130.637889585993	17093.9258346579	1709.39258346579	1125.05407384516	0.658160146900907	pfkA, PFK	6-phosphofructokinase 1
K00863	0	0	396.726122832368	276.781392061033	0	0	0	0	0	76.4215344728549	749.929049366256	74.9929049366256	142.828743042418	1.90456341387387	DAK, TKFC	triose/dihydroxyacetone kinase / FAD-AMP lyase (cyclizing)
K00918	0	0	0	0	0	0	65.1325767596852	95.658114377597	63.7618265724847	0	224.552517709767	22.4552517709767	37.1422410149502	1.65405587048266	pfkC	ADP-dependent phosphofructokinase/glucokinase
K00925	5595.97542836092	8013.35826124827	8887.84776700343	6382.79941193045	7065.35136885001	8661.28794547836	5532.42618041764	2055.34633092422	5582.25466474968	3240.28175996879	61016.9291189318	6101.69291189318	2220.77398463659	0.363960300314023	ackA	acetate kinase
K01007	13923.9963220867	12315.5976993291	6606.75299797587	6992.76821655664	8992.52796732942	8257.28492329972	13675.905507457	8031.65331826618	14781.0873058962	5753.24807847848	99330.8223366753	9933.08223366753	3392.88391893717	0.341574129673186	pps, ppsA	pyruvate, water dikinase
K01070	1013.32345307058	782.81708489294	5607.25772589075	2853.80123985013	7131.2230709496	7639.54243390998	7770.88554664748	1228.61455997298	467.393317324285	3462.85749141901	37957.7159239277	3795.77159239277	2990.15557819133	0.78775961761872	frmB, ESD, fghA	S-formylglutathione hydrolase
K01079	21858.2923628233	13809.9396020655	13095.5067577961	15566.6030525788	17449.4149718328	13843.7187961557	10545.8567523855	11258.8301098021	10517.1833256789	13277.9850821819	141223.330813301	14122.3330813301	3478.99896313042	0.246347323993491	serB, PSPH	phosphoserine phosphatase
K01086	6307.78842400047	2442.46642285545	3563.36440567818	4450.469266615	1170.791641118	6488.12787483664	3129.51867442816	394.242407151316	870.341759508927	1863.67480511294	30680.7856813051	3068.07856813051	2154.41839950535	0.702204442182235	fbp-SEBP	fructose-1,6-bisphosphatase I / sedoheptulose-1,7-bisphosphatase
K01499	8873.29999400413	11171.5332597866	13723.9249749619	3826.98126290987	8149.2204880064	4002.56307590524	10953.292512195	7648.99275124275	10663.2473239454	10732.3694846191	89745.4251275764	8974.54251275763	3178.17187636125	0.354131909436427	mch	methenyltetrahydromethanopterin cyclohydrolase
K01595	13608.656268422	14658.1198849234	28431.322666601	20696.0138922629	24434.0269342721	23736.3214142561	23833.5133028468	20023.994683952	22641.5097918706	22419.2667543024	214482.745593709	21448.2745593709	4486.14064863288	0.209160911112677	ppc	phosphoenolpyruvate carboxylase
K01622	2693.00685170425	5586.1951621592	200.579440909724	386.997492252977	56.61938046135	523.518173806318	89.4426907639223	1529.22814336093	3105.63533152353	804.781453856909	14976.0041207991	1497.60041207991	1799.2668650305	1.20143320642629	K01622	fructose 1,6-bisphosphate aldolase/phosphatase
K01623	23262.1460804433	14095.2485446205	19163.0158887638	18492.4829456955	13308.9703849801	25111.9705060071	18678.2486394717	22239.0448528162	15471.2899499954	18618.3320773062	188440.7498701	18844.07498701	3875.84972412264	0.205680020207648	ALDO	fructose-bisphosphate aldolase, class I
K01624	9004.87394792191	6616.24150954523	27945.6332773722	16562.564615797	21617.8892141951	13608.5323916143	13399.5622502654	10619.8255593967	9431.93392375303	15230.1802408802	144037.236930741	14403.7236930741	6422.53696192377	0.445894207552175	FBA, fbaA	fructose-bisphosphate aldolase, class II
K01689	34104.7872644733	48520.5096803118	47690.6118778439	42552.6110937305	50978.5417701712	49126.3820408958	38586.1088002671	39093.6180643067	52030.564668336	40509.8778890257	443193.613149362	44319.3613149362	6128.97887059449	0.138291227327072	ENO, eno	enolase
K01834	18375.2422450842	15994.9302975832	25722.2846041151	14754.5698821653	23348.4099131055	28415.8010405505	20862.0486102912	14965.2492325072	21907.1010734088	21839.0555294297	206184.692428241	20618.4692428241	4597.86201757432	0.222997253744942	PGAM, gpmA	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase
K01895	33967.5722617131	31462.8460908433	38819.2614339316	40137.5867424039	28530.1723911496	37132.5757910826	26774.1727099584	34529.7099577126	31066.6325187016	29765.8574128494	332186.387310346	33218.6387310346	4471.96234617631	0.134622083173997	ACSS1_2, acs	acetyl-CoA synthetase
K02203	2367.16997476874	3185.10749416951	1016.24329983766	283.039382487722	417.249818484176	5642.18885688979	951.13784020361	451.759876500119	2911.55788082504	594.390845160366	17819.8452693267	1781.98452693267	1733.78805215678	0.972953483014329	thrH	phosphoserine / homoserine phosphotransferase
K02446	17668.4440103674	2976.93346855982	7102.88590999622	17411.438778163	7535.03250006338	17833.4822716283	6459.13605747218	20004.0715260196	9195.99045772703	19147.8586007912	125335.273580788	12533.5273580788	6426.09268939097	0.512712224244587	glpX	fructose-1,6-bisphosphatase II
K03388	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	hdrA2	heterodisulfide reductase subunit A2
K03389	185.731886028656	58.4149170046905	0	106.623002891622	0	50.9146404857629	0	0	229.028495934204	0	630.712942344936	63.0712942344936	84.6847564425402	1.34268302990089	hdrB2	heterodisulfide reductase subunit B2
K03390	0	66.0563333139502	0	0	0	64.0685324150041	0	0	124.038272299951	0	254.163138028905	25.4163138028905	43.9618760829361	1.72967159690704	hdrC2	heterodisulfide reductase subunit C2
K03396	1894.86493251103	1935.43078768647	5654.32598906346	1241.30221732489	4373.71255154588	8224.5285421322	2868.91958197019	179.275266581036	1130.19511347677	421.830452211651	27924.3854345036	2792.43854345036	2568.22163244236	0.919705695391615	gfa	S-(hydroxymethyl)glutathione synthase
K03421	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mcrC	methyl-coenzyme M reductase subunit C
K03422	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mcrD	methyl-coenzyme M reductase subunit D
K03532	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	torC	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorC
K03533	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	torD	TorA specific chaperone
K03841	8455.64767360166	16624.7533452692	11059.188543826	5176.32417293004	9408.02924518373	12077.9389985789	8204.7863762525	3232.3024531247	15412.2345432468	4841.29517075751	94492.500522771	9449.2500522771	4437.54380215224	0.46961862344651	FBP, fbp	fructose-1,6-bisphosphatase I
K04041	0	373.232894303155	115.683464852202	0	400.891575885935	405.964747317033	792.753880725561	59.4563049915954	649.208571750061	352.59454531101	3149.78598513655	314.978598513655	271.596139008694	0.862268548689729	fbp3	fructose-1,6-bisphosphatase III
K04480	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	mtaB	methanol---5-hydroxybenzimidazolylcobamide Co-methyltransferase
K05299	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fdhA	formate dehydrogenase (NADP+) alpha subunit
K05884	2595.93816757287	3671.95756686689	807.87357021031	2199.03389205926	688.399424186284	1642.00822727512	278.146108599183	419.992883363226	2948.85775234711	430.87534562816	15683.0829381084	1568.30829381084	1221.10731782242	0.778614334083029	comC	L-2-hydroxycarboxylate dehydrogenase (NAD+)
K05979	10833.2535515826	9016.85877205383	7868.76884032722	28254.268338559	8439.32815694377	18518.9124794848	5369.06032872286	5952.02433224028	13297.8525229616	6282.26085745387	113832.58818033	11383.258818033	7132.27389863669	0.626558177464786	comB	2-phosphosulfolactate phosphatase
K06034	4262.91601934709	5293.71253601768	5914.30672300454	4312.74195242473	2133.23042496918	5295.11933004252	626.18205127422	3496.20321059477	6095.32296951633	829.484681916782	38259.2198991079	3825.92198991079	2012.27705160961	0.525958724959924	comD	sulfopyruvate decarboxylase subunit alpha
K06914	8710.99484222404	10348.2924857016	1056.73927541372	2032.46708475478	4669.88583001666	3570.84986602754	9597.88833265274	6231.58821490416	8013.9139400139	4378.84084713798	58611.4607188471	5861.14607188471	3224.7979171452	0.550199206365835	mfnD	tyramine---L-glutamate ligase
K07072	8546.42896192721	10035.8755363795	4087.01608222858	4397.00622163059	9106.99990281614	4267.70269417147	11673.4368891919	8395.8347634949	10254.0900738983	10071.1578753982	80835.5490011369	8083.55490011369	2805.6193535535	0.347077416832296	mfnF	(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanamine synthase
K07144	8880.4855892108	8718.43727671359	12175.5012582512	4488.01190515128	9888.03494044496	3601.87005483804	12046.3495838003	9008.59944385891	6435.6971491484	10628.2526360073	85871.2398374247	8587.12398374247	2930.04225372919	0.341213456248736	mfnE	5-(aminomethyl)-3-furanmethanol phosphate kinase
K07811	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	torA	trimethylamine-N-oxide reductase (cytochrome c)
K07812	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	torZ	trimethylamine-N-oxide reductase (cytochrome c)
K07821	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	torY	trimethylamine-N-oxide reductase (cytochrome c), cytochrome c-type subunit TorY
K08093	436.107383525814	1407.3952896487	70.4883138913189	632.205545763376	417.7945610544	1175.89921793908	264.170643071984	83.1879415620695	4063.76198278896	370.304460211658	8921.31533945737	892.131533945737	1197.30722602703	1.34207477313525	hxlA	3-hexulose-6-phosphate synthase
K08094	505.941829745045	1665.46347843519	162.525615646318	1331.37666580086	182.609460140993	1876.27117759173	149.585198019265	101.694452113056	2595.51999635002	335.613794244765	8906.60166808725	890.660166808725	902.575741226904	1.01337836232294	hxlB	6-phospho-3-hexuloisomerase
K08097	2994.26694255291	5160.87287910083	8325.9994933252	13379.3698558707	9382.72457976454	4793.1038616725	6318.36934260532	10567.4416799608	4874.62671047107	12793.0986074219	78589.8739527458	7858.98739527458	3595.06695089555	0.457446585683186	comA	phosphosulfolactate synthase
K08264	797.381161388051	1581.96472370318	1381.93396168975	119.539816404609	468.41858014498	1030.84883474404	1215.62162528902	2414.90484239352	589.168841803745	3902.22049435537	13502.0028819163	1350.20028819163	1105.4442794215	0.818726146846008	hdrD	heterodisulfide reductase subunit D
K08265	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	hdrE	heterodisulfide reductase subunit E
