KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00260	0	461.995377443813	0	91.7509992143488	0	0	0	0	866.287607560052	0	1420.03398421821	142.003398421821	292.624625305173	2.06068748042164	gudB, rocG	glutamate dehydrogenase
K00261	40311.2044594309	45797.6167907905	42164.4343431378	21359.7354116001	18060.2378785655	26992.9996959445	19528.5968727484	40354.8690391966	39569.7379187858	17938.2845415806	312077.716951781	31207.7716951781	11399.1450668395	0.365266228495283	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00262	3690.93424373574	5523.21880013011	5455.27612397681	2493.37730546751	10275.9443352696	5548.70956352535	5673.93297390045	3494.34671042164	4262.97753761834	4861.66327725774	51280.3808713033	5128.03808713033	2101.16620226568	0.409740755931379	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)
K00264	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	GLT1	glutamate synthase (NADH)
K00265	34680.4130903671	22143.6964046176	17087.2294440228	30201.1677029619	31144.800045186	30336.2819573115	29268.0839676637	33336.5132885732	13640.5018968267	27966.8550797806	269805.542877311	26980.5542877311	7024.52759833369	0.260355199653106	gltB	glutamate synthase (NADPH) large chain
K00266	40788.4393045703	36209.3778665053	27803.8815510528	43097.4934509058	47239.5636229116	28203.5167207176	38737.5081124511	43607.986228023	32688.7097651842	46171.852609094	384548.329231416	38454.8329231416	7048.88714434502	0.183303023534998	gltD	glutamate synthase (NADPH) small chain
K00284	0	191.531585342153	0	0	0	0	0	0	157.372615775245	0	348.904201117398	34.8904201117398	73.9948002856991	2.12077699404948	GLU, gltS	glutamate synthase (ferredoxin)
K00360	1282.98414984328	0	477.059678855175	847.895733173576	1777.54837026029	266.817968785926	2596.31021432725	360.892794452773	0	1657.95441783336	9267.46332753163	926.746332753163	872.717786531835	0.941700825445059	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	35461.6856340899	19905.6124974519	50303.7403287778	33799.0083519619	40274.8591855836	33252.8769197869	40778.6821191179	10776.0917240442	22449.9099682124	34968.6710202232	321971.13774925	32197.113774925	11516.7127050493	0.357693946903356	nirB	nitrite reductase (NADH) large subunit
K00363	27589.5546160689	18935.6593174727	16350.3790465341	9449.0873308827	24817.4236459008	16974.17432668	32505.4570956299	9029.9172638514	15756.3185280682	24786.7012191434	196194.672390232	19619.4672390232	7687.95092471103	0.391853195147912	nirD	nitrite reductase (NADH) small subunit
