KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00260	0	3	0	1	0	0	0	0	3	0	7	0.7	1.25166555703457	1.78809365290653	gudB, rocG	glutamate dehydrogenase
K00261	122	126	67	63	54	110	79	86	145	58	910	91	32.4037034920393	0.356084653758674	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00262	17	28	11	13	22	24	19	13	23	18	188	18.8	5.49343041985404	0.292203745736917	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)
K00264	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	GLT1	glutamate synthase (NADH)
K00265	50	49	52	59	74	57	66	43	47	44	541	54.1	9.96047745397333	0.184112337411707	gltB	glutamate synthase (NADPH) large chain
K00266	85	84	95	98	118	99	113	84	87	100	963	96.3	11.9819308405059	0.124422957845337	gltD	glutamate synthase (NADPH) small chain
K00284	0	1	0	0	0	0	0	0	1	0	2	0.2	0.421637021355784	2.10818510677892	GLU, gltS	glutamate synthase (ferredoxin)
K00360	1	0	2	2	6	2	9	3	0	6	31	3.1	2.96085573216033	0.955114752309783	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	33	44	78	58	89	60	95	39	57	73	626	62.6	20.8976341031972	0.333828020817847	nirB	nitrite reductase (NADH) large subunit
K00363	22	38	50	27	60	48	71	40	48	60	464	46.4	15.1891774336569	0.32735296193226	nirD	nitrite reductase (NADH) small subunit
K00366	16	22	32	30	33	10	21	12	23	12	211	21.1	8.55634916954136	0.405514178651249	nirA	ferredoxin-nitrite reductase
K00367	2	0	0	0	0	3	1	0	1	1	8	0.8	1.03279555898864	1.29099444873581	narB	ferredoxin-nitrate reductase
K00368	39	36	20	12	21	19	10	13	22	18	210	21	9.60324019392529	0.45729715209168	nirK	nitrite reductase (NO-forming)
K00370	22	24	17	15	14	13	13	5	11	11	145	14.5	5.50252467307306	0.379484460211935	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit
K00371	28	28	13	13	22	15	10	9	13	13	164	16.4	7.02693231629406	0.428471482700857	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit
K00372	7	12	24	10	29	5	29	7	5	9	137	13.7	9.74166310236604	0.711070299442777	nasA	assimilatory nitrate reductase catalytic subunit
K00374	7	7	12	15	23	13	16	8	15	15	131	13.1	4.93175650475794	0.376469962195262	narI, narV	nitrate reductase gamma subunit
K00376	9	17	1	1	1	10	1	0	4	2	46	4.6	5.60158707669333	1.21773632102029	nosZ	nitrous-oxide reductase
K00459	130	166	278	232	250	215	216	156	199	195	2037	203.7	44.6842005386443	0.219362791058637	ncd2, npd	nitronate monooxygenase
K00531	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	anfG	nitrogenase delta subunit
K00926	68	72	43	39	43	48	40	66	59	45	523	52.3	12.6495498382793	0.241865197672644	arcC	carbamate kinase
K01455	33	26	39	56	61	26	39	52	23	58	413	41.3	14.4533733086778	0.349960612800915	E3.5.1.49	formamidase
K01501	42	35	51	66	49	58	47	62	53	62	525	52.5	9.74394398816231	0.185598933107854	E3.5.5.1	nitrilase
K01672	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	CA	carbonic anhydrase
K01673	165	195	205	137	182	264	216	121	248	156	1889	188.9	46.1505988886144	0.244312328685095	cynT, can	carbonic anhydrase
