KO_ID	KO_name	KO_def
K00260	gudB, rocG	glutamate dehydrogenase
K00261	GLUD1_2, gdhA	glutamate dehydrogenase (NAD(P)+)
K00262	E1.4.1.4, gdhA	glutamate dehydrogenase (NADP+)
K00264	GLT1	glutamate synthase (NADH)
K00265	gltB	glutamate synthase (NADPH) large chain
K00266	gltD	glutamate synthase (NADPH) small chain
K00284	GLU, gltS	glutamate synthase (ferredoxin)
K00360	nasB	assimilatory nitrate reductase electron transfer subunit
K00362	nirB	nitrite reductase (NADH) large subunit
K00363	nirD	nitrite reductase (NADH) small subunit
K00366	nirA	ferredoxin-nitrite reductase
K00367	narB	ferredoxin-nitrate reductase
K00368	nirK	nitrite reductase (NO-forming)
K00370	narG, narZ, nxrA	nitrate reductase / nitrite oxidoreductase, alpha subunit
K00371	narH, narY, nxrB	nitrate reductase / nitrite oxidoreductase, beta subunit
K00372	nasA	assimilatory nitrate reductase catalytic subunit
K00374	narI, narV	nitrate reductase gamma subunit
K00376	nosZ	nitrous-oxide reductase
K00459	ncd2, npd	nitronate monooxygenase
K00531	anfG	nitrogenase delta subunit
K00926	arcC	carbamate kinase
K01455	E3.5.1.49	formamidase
K01501	E3.5.5.1	nitrilase
K01672	CA	carbonic anhydrase
K01673	cynT, can	carbonic anhydrase
K01674	cah	carbonic anhydrase
K01725	cynS	cyanate lyase
K01743	E4.2.1.1	carbonic anhydrase
K01915	glnA, GLUL	glutamine synthetase
K01948	CPS1	carbamoyl-phosphate synthase (ammonia)
K02305	norC	nitric oxide reductase subunit C
K02567	napA	nitrate reductase (cytochrome)
K02568	napB	nitrate reductase (cytochrome), electron transfer subunit
K02575	NRT, narK, nrtP, nasA	MFS transporter, NNP family, nitrate/nitrite transporter
K02586	nifD	nitrogenase molybdenum-iron protein alpha chain
K02588	nifH	nitrogenase iron protein NifH
K02591	nifK	nitrogenase molybdenum-iron protein beta chain
K03385	nrfA	nitrite reductase (cytochrome c-552)
K04561	norB	nitric oxide reductase subunit B
K05601	hcp	hydroxylamine reductase
K10534	NR	nitrate reductase (NAD(P)H)
K10535	hao	hydroxylamine dehydrogenase
K10944	pmoA-amoA	methane/ammonia monooxygenase subunit A
K10945	pmoB-amoB	methane/ammonia monooxygenase subunit B
K10946	pmoC-amoC	methane/ammonia monooxygenase subunit C
K15371	GDH2	glutamate dehydrogenase
K15576	nrtA, nasF, cynA	nitrate/nitrite transport system substrate-binding protein
K15577	nrtB, nasE, cynB	nitrate/nitrite transport system permease protein
K15578	nrtC, nasD	nitrate/nitrite transport system ATP-binding protein
K15579	nrtD, cynD	nitrate/nitrite transport system ATP-binding protein
K15864	nirS	nitrite reductase (NO-forming) / hydroxylamine reductase
K15876	nrfH	cytochrome c nitrite reductase small subunit
K15877	CYP55	fungal nitric oxide reductase
K17877	NIT-6	nitrite reductase (NAD(P)H)
K18245	CA2	carbonic anhydrase 2
K18246	CA4	carbonic anhydrase 4
K19823	NAO	nitroalkane oxidase
K20932	K20932	hydrazine synthase subunit
K20933	K20933	hydrazine synthase subunit
K20934	K20934	hydrazine synthase subunit
K20935	hdh	hydrazine dehydrogenase
K22896	vnfD	vanadium-dependent nitrogenase alpha chain
K22897	vnfK	vanadium-dependent nitrogenase beta chain
K22898	vnfG	vanadium nitrogenase delta subunit
K22899	vnfH	vanadium nitrogenase iron protein
