KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00566	58987.0065152686	52890.8664324988	50337.6520417604	57480.0051297718	55412.2374671114	52169.3947410933	66742.6225573379	41173.3995154251	37503.0223008378	45166.925306312	517863.132007417	51786.3132007417	8724.38898675747	0.168469011357088	mnmA, trmU	tRNA-uridine 2-sulfurtransferase
K01011	107592.342361355	89877.9266491963	131618.709011468	126216.97522996	106870.715969279	82445.066393211	104347.98379379	104001.048634755	85642.5498007097	105629.569438187	1044242.88728191	104424.288728191	15914.8899081953	0.152406016857061	TST, MPST, sseA	thiosulfate/3-mercaptopyruvate sulfurtransferase
K03148	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	thiF	sulfur carrier protein ThiS adenylyltransferase
K03151	18415.6914628463	18958.6117909266	9641.2373877506	1116.25733009516	960.244116929764	15882.731228465	1013.21506659095	10525.3639695491	25767.5453461811	3400.12711297175	105681.024812306	10568.1024812306	8922.12362864919	0.844250294174875	thiI	tRNA uracil 4-sulfurtransferase
K03154	44584.9715160315	63707.8874302343	82349.4806931808	57037.5587635151	74792.5863219945	71774.3313970545	60025.175235314	44582.9879461503	69540.8013868959	67034.6255463365	635430.406236707	63543.0406236707	12336.7956453909	0.194148651438554	thiS	sulfur carrier protein
K03635	71316.5734708502	62108.3445424111	68242.2701993025	61403.6663853652	74518.6253983526	69291.5948294881	79642.2422579736	61811.3183904186	63027.6159059792	68020.9901280928	679383.241508234	67938.3241508234	6073.35583447599	0.089395137580861	MOCS2B, moaE	molybdopterin synthase catalytic subunit
K03636	225785.118609815	215729.715282178	138564.702525516	193044.491578165	163063.049027367	191087.767757607	156896.334389184	183542.433513746	211327.998466698	202109.79222365	1881151.40337392	188115.140337392	27943.9732176338	0.148547177901338	moaD, cysO	sulfur-carrier protein
K03637	81567.9932366267	76665.5772841479	89727.9729900593	77346.0257070881	90884.5187027278	79603.635392629	94627.9045780922	88406.1579645573	73387.7551649173	80752.7651818176	832970.306202663	83297.0306202663	7103.2643521758	0.085276321368022	moaC, CNX3	cyclic pyranopterin monophosphate synthase
K03638	37967.5883926516	30351.8489747077	44363.6820612214	22736.4323202988	22131.6549926176	26787.7606835697	27983.9513035981	15321.4291197785	24833.7674390041	21568.7615008866	274046.876788334	27404.6876788334	8464.66217322593	0.308876432836116	moaB	molybdopterin adenylyltransferase
K03639	79336.9938026076	71298.552921059	95179.8840598932	85477.8725970297	92035.0827760464	87985.8174339341	87542.4465657291	96979.7277098142	79270.6528757259	83032.4178921278	858139.448633967	85813.9448633967	7902.98701835943	0.0920944379254425	moaA, CNX2	GTP 3',8-cyclase
K03831	10411.7476034448	27524.7885643254	3572.01531673163	6680.88990954947	21653.6676186428	11230.1469195047	31967.9910516318	2005.97819015257	23773.6278241799	8289.07365590308	147109.926654066	14710.9926654066	10615.225169555	0.721584559994854	mogA	molybdopterin adenylyltransferase
K04085	62663.2427217119	57025.7573081512	71246.2306605236	21770.4251815614	53445.4343777518	37192.1497598596	39681.9148131569	43034.3303508743	60143.5349899407	34038.5072280067	480241.527391538	48024.1527391538	15302.6740754012	0.318645373267044	tusA, sirA	tRNA 2-thiouridine synthesizing protein A
K04487	81721.0963055588	106101.882135044	98638.4701600476	114564.944040512	102188.407383058	116965.983711499	97083.5305621036	81850.1974258042	114103.600495895	81709.6794225537	994927.791642076	99492.7791642076	13931.46776154	0.140024913150198	iscS, NFS1	cysteine desulfurase
K07235	0	83.6911182315656	389.781448652382	2335.86324042797	2694.05630407421	0	6219.14994211579	11483.1685948953	100.13749008444	3528.32468143083	26834.1728199125	2683.41728199125	3709.83582582871	1.38250426078936	tusD, dsrE	tRNA 2-thiouridine synthesizing protein D
K07236	0	0	301.250593639399	2079.13961115685	2730.95515401537	0	3925.6437424733	10911.9213929486	124.358103850395	3157.28867518589	23230.5572732698	2323.05572732698	3372.60951339504	1.45179879833349	tusC, dsrF	tRNA 2-thiouridine synthesizing protein C
K07237	726.332456276688	1090.69636589507	395.260862227801	2282.62398506085	2960.60756564675	1031.31868882575	4172.76065076494	12207.0698377174	1073.34861919895	3532.22971581438	29472.2487474286	2947.22487474286	3497.68909541649	1.18677374278122	tusB, dsrH	tRNA 2-thiouridine synthesizing protein B
