KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00003	104	113	140	122	137	136	167	161	161	156	1397	139.7	21.7053500829225	0.155371153063153	hom	homoserine dehydrogenase
K00004	0	0	5	11	16	2	9	6	3	11	63	6.3	5.3343748982946	0.846726174332477	BDH, butB	(R,R)-butanediol dehydrogenase / meso-butanediol dehydrogenase / diacetyl reductase
K00005	3	2	7	9	5	5	9	5	3	8	56	5.6	2.54732975660571	0.45488031367959	gldA	glycerol dehydrogenase
K00006	0	0	0	1	1	0	0	0	0	0	2	0.2	0.421637021355784	2.10818510677892	GPD1	glycerol-3-phosphate dehydrogenase (NAD+)
K00007	1	1	0	0	1	0	1	0	2	1	7	0.7	0.674948557710553	0.96421222530079	dalD	D-arabinitol 4-dehydrogenase
K00008	2	0	7	17	8	1	2	6	0	5	48	4.8	5.18116246072679	1.07940884598475	SORD, gutB	L-iditol 2-dehydrogenase
K00009	2	4	0	5	3	4	3	4	13	11	49	4.9	4.01248052954778	0.81887357745873	mtlD	mannitol-1-phosphate 5-dehydrogenase
K00010	15	25	33	67	53	42	56	83	30	83	487	48.7	23.800326795142	0.488713075875606	iolG	myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase
K00012	202	222	189	184	224	240	265	257	253	239	2275	227.5	28.4458549997476	0.125036725273616	UGDH, ugd	UDPglucose 6-dehydrogenase
K00013	91	105	102	111	125	130	151	119	131	116	1181	118.1	17.1881742292	0.145539155200677	hisD	histidinol dehydrogenase
K00014	109	146	149	166	156	141	183	190	164	182	1586	158.6	24.1302023751701	0.152145033891363	aroE	shikimate dehydrogenase
K00015	90	101	69	57	57	82	73	52	96	53	730	73	18.4149697559108	0.252259859670012	gyaR, GOR1	glyoxylate reductase
K00016	6	13	0	7	5	8	7	3	6	1	56	5.6	3.71782493162632	0.663897309218985	LDH, ldh	L-lactate dehydrogenase
K00018	15	18	22	13	31	32	30	12	23	16	212	21.2	7.61285462593077	0.359096916317489	hprA	glycerate dehydrogenase
K00019	49	64	73	68	86	77	91	35	75	63	681	68.1	16.6629995965779	0.244684281888075	E1.1.1.30, bdh	3-hydroxybutyrate dehydrogenase
K00020	189	181	188	156	86	151	101	115	205	106	1478	147.8	42.9438910414249	0.290554066586096	HIBADH, mmsB	3-hydroxyisobutyrate dehydrogenase
K00021	19	19	13	18	10	21	14	9	15	5	143	14.3	5.14349643292921	0.359685065239805	HMGCR	hydroxymethylglutaryl-CoA reductase (NADPH)
K00022	0	1	3	0	0	2	3	0	2	0	11	1.1	1.28668393770792	1.16971267064356	HADH	3-hydroxyacyl-CoA dehydrogenase
K00023	71	69	83	53	105	72	102	36	56	76	723	72.3	21.2082269152536	0.293336471856897	phbB	acetoacetyl-CoA reductase
K00024	163	170	163	182	184	187	206	196	187	193	1831	183.1	14.1456707158056	0.0772565303976275	mdh	malate dehydrogenase
K00025	0	0	1	0	0	0	0	0	0	0	1	0.1	0.316227766016838	3.16227766016838	MDH1	malate dehydrogenase
K00027	45	37	59	101	72	41	72	96	47	90	660	66	23.7814119756493	0.360324423873474	ME2, sfcA, maeA	malate dehydrogenase (oxaloacetate-decarboxylating)
K00029	29	31	31	24	38	44	38	12	34	16	297	29.7	9.98943886756853	0.336344743015775	E1.1.1.40, maeB	malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)
K00030	52	73	43	74	53	70	69	60	90	50	634	63.4	14.2688471853896	0.225060681157564	IDH3	isocitrate dehydrogenase (NAD+)
K00031	145	178	135	139	159	185	195	146	210	172	1664	166.4	25.59600663298	0.153822155246274	IDH1, IDH2, icd	isocitrate dehydrogenase
K00032	0	0	0	0	0	0	0	0	1	0	1	0.1	0.316227766016838	3.16227766016838	E1.1.1.43	phosphogluconate 2-dehydrogenase
K00033	155	169	189	269	240	188	266	265	239	280	2260	226	46.3728847975241	0.205189755741257	PGD, gnd, gntZ	6-phosphogluconate dehydrogenase
K00034	36	34	36	82	81	33	57	40	45	36	480	48	19.0087699058443	0.39601603970509	gdh	glucose 1-dehydrogenase
K00035	3	1	8	7	6	10	1	3	0	1	40	4	3.4960294939005	0.874007373475126	gal	D-galactose 1-dehydrogenase
K00036	132	151	189	265	234	188	230	264	229	248	2130	213	46.0941066370384	0.216404256511917	G6PD, zwf	glucose-6-phosphate 1-dehydrogenase
K00038	73	57	80	28	34	43	38	28	47	24	452	45.2	19.2919096456981	0.426812160303054	E1.1.1.53	3alpha(or 20beta)-hydroxysteroid dehydrogenase
K00039	0	0	1	0	0	0	3	0	0	0	4	0.4	0.966091783079296	2.41522945769824	rbtD	ribitol 2-dehydrogenase
K00040	2	1	3	3	2	8	5	1	0	0	25	2.5	2.46080384337223	0.984321537348893	uxuB	fructuronate reductase
K00041	2	6	2	3	6	4	0	2	3	0	28	2.8	2.0976176963403	0.749149177264394	uxaB	tagaturonate reductase
K00042	64	63	65	77	71	55	84	56	68	49	652	65.2	10.4965602831488	0.160990188391853	garR, glxR	2-hydroxy-3-oxopropionate reductase
K00043	1	1	6	3	6	10	9	2	3	3	44	4.4	3.20416395751944	0.728219081254419	gbd	4-hydroxybutyrate dehydrogenase
K00045	0	1	2	14	6	0	1	3	0	3	30	3	4.29469957557504	1.43156652519168	E1.1.1.67, mtlK	mannitol 2-dehydrogenase
K00046	43	41	39	40	30	40	65	16	67	30	411	41.1	15.3800014448778	0.374209280897271	idnO	gluconate 5-dehydrogenase
K00049	0	1	0	0	1	2	0	3	1	4	12	1.2	1.3984117975602	1.1653431646335	GRHPR	glyoxylate/hydroxypyruvate reductase
K00050	4	5	0	0	8	2	7	0	3	2	31	3.1	2.88482620312251	0.930589097781454	ttuD	hydroxypyruvate reductase
K00052	124	137	137	153	162	150	159	152	176	149	1499	149.9	14.6397480245468	0.0976634291163897	leuB, IMDH	3-isopropylmalate dehydrogenase
K00053	179	190	174	202	190	206	220	259	254	231	2105	210.5	29.8375229832803	0.141745952414633	ilvC	ketol-acid reductoisomerase
K00054	16	27	5	7	3	16	6	7	22	4	113	11.3	8.38053299816505	0.741640088333191	mvaA	hydroxymethylglutaryl-CoA reductase
K00055	6	8	21	32	28	7	33	17	9	17	178	17.8	10.4221985311268	0.58551677141162	E1.1.1.90	aryl-alcohol dehydrogenase
K00057	152	153	161	164	189	183	223	219	208	215	1867	186.7	28.1860879789224	0.150969940969054	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)+)
K00058	221	222	213	231	172	229	237	262	258	217	2262	226.2	25.1254629586977	0.111076317235622	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00059	1059	1143	1044	1151	948	1105	1106	1101	1345	1077	11079	1107.9	101.304217308286	0.0914380515464266	fabG, OAR1	3-oxoacyl-[acyl-carrier protein] reductase
K00060	44	63	43	56	47	66	49	51	63	56	538	53.8	8.28385310240484	0.153974964728714	tdh	threonine 3-dehydrogenase
K00062	0	0	0	1	1	0	0	0	0	0	2	0.2	0.421637021355784	2.10818510677892	E1.1.1.116	D-arabinose 1-dehydrogenase
K00064	11	16	27	21	10	31	17	25	30	14	202	20.2	7.72873426463437	0.382610607160117	E1.1.1.122	D-threo-aldose 1-dehydrogenase
