KO_ID	VAL_A09	VAL_B04	VAL_C05	VAL_D01	VAL_E02	YEL_A01	YEL_B04	YEL_C01	YEL_D03	YEL_E01	sum	mean	stdev	CoV	KO_name	KO_def
K00018	15	18	22	13	31	32	30	12	23	16	212	21.2	7.61285462593077	0.359096916317489	hprA	glycerate dehydrogenase
K00024	163	170	163	182	184	187	206	196	187	193	1831	183.1	14.1456707158056	0.0772565303976275	mdh	malate dehydrogenase
K00058	221	222	213	231	172	229	237	262	258	217	2262	226.2	25.1254629586977	0.111076317235622	serA, PHGDH	D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase
K00093	99	138	116	173	144	166	164	142	139	172	1453	145.3	24.4178896166997	0.168051545882311	mdh	methanol dehydrogenase
K00121	27	26	50	27	45	45	59	19	31	26	355	35.5	13.1677214767358	0.370921731739036	frmA, ADH5, adhC	S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase
K00122	35	22	37	27	28	56	47	43	43	44	382	38.2	10.4221985311268	0.272832422280807	FDH	formate dehydrogenase
K00123	51	67	80	48	81	65	81	33	47	36	589	58.9	18.3874957511892	0.312181591701005	fdoG, fdhF, fdwA	formate dehydrogenase major subunit
K00124	69	83	82	145	94	72	78	117	90	68	898	89.8	24.2111085615215	0.269611453914493	fdoH, fdsB	formate dehydrogenase iron-sulfur subunit
K00125	0	0	0	0	0	0	0	0	0	0	0	0	0	NA	fdhB	formate dehydrogenase (coenzyme F420) beta subunit
K00126	11	12	29	13	42	26	41	7	23	16	220	22	12.4275679215382	0.564889450979008	fdsD	formate dehydrogenase subunit delta
K00127	51	80	61	34	63	69	55	46	78	54	591	59.1	14.2240016247968	0.240676846443262	fdoI, fdsG	formate dehydrogenase subunit gamma
K00148	11	8	19	78	49	12	41	42	18	44	322	32.2	22.389481657441	0.695325517311834	fdhA	glutathione-independent formaldehyde dehydrogenase
K00169	51	36	24	8	8	18	1	8	23	9	186	18.6	15.421485733295	0.829112136198658	porA	pyruvate ferredoxin oxidoreductase alpha subunit
K00170	27	19	9	5	1	10	0	7	20	0	98	9.8	9.34285228872259	0.953352274359448	porB	pyruvate ferredoxin oxidoreductase beta subunit
K00171	0	0	0	2	0	0	0	0	0	0	2	0.2	0.632455532033676	3.16227766016838	porD	pyruvate ferredoxin oxidoreductase delta subunit
